ciel e robot,cosine_similarity,Marque
ciel e ciel ciel,cosine_similarity,Marque
rayon,cosine_similarity,Marque
rayon,cosine_similarity,Marque
robot e,cosine_similarity,Marque
Q e,cosine_similarity,Marque
e travaillolique,cosine_similarity,Marque
ciel enfant h,cosine_similarity,Marque
barn H travaillolique,cosine_similarity,Marque
ciel enfant robot,cosine_similarity,Marque
travaillolique e enfant ciel,cosine_similarity,Marque
ciel rayon oxygène e,cosine_similarity,Marque
robot,cosine_similarity,Marque
e e,cosine_similarity,Marque
H ciel e ciel,cosine_similarity,Marque
e robot ciel,cosine_similarity,Marque
rayon travaillolique,cosine_similarity,Marque
e,cosine_similarity,Marque
ciel robot,cosine_similarity,Marque
repousser robot téléphone_cellulaire ciel,cosine_similarity,Marque
travaillolique ciel travaillolique repousser rayon,cosine_similarity,Marque
barn,cosine_similarity,Marque
e travaillolique travaillolique robot ciel ciel,cosine_similarity,Marque
H,cosine_similarity,Marque
943,0.8002793773475511,ôcuir
robot,cosine_similarity,Marque
armée ciel rayon ciel armée,cosine_similarity,Marque
e robot ciel e e,cosine_similarity,Marque
e,cosine_similarity,Marque
e,cosine_similarity,Marque
e,cosine_similarity,Marque
oxygène e travaillolique travaillolique automate e rayon,cosine_similarity,Marque
e e,cosine_similarity,Marque
rayon e rayon,cosine_similarity,Marque
ciel,cosine_similarity,Marque
e,cosine_similarity,Marque
e travaillolique ciel enfant h oxygène,cosine_similarity,Marque
barn,cosine_similarity,Marque
K,cosine_similarity,Marque
234,0.8444802477124714,r
753,0.8384784760149951,ÿ
970,0.8793122945929391,ô
e rayon,cosine_similarity,Marque
e e rayon,cosine_similarity,Marque
e,cosine_similarity,Marque
ciel H,cosine_similarity,Marque
ciel h,cosine_similarity,Marque
e travaillolique envers tutu,cosine_similarity,Marque
K,cosine_similarity,Marque
234,0.8444802477124714,r
753,0.8384784760149951,ÿ
970,0.8793122945929391,ô
rayon ciel enfant armée H,cosine_similarity,Marque
e,cosine_similarity,Marque
e h e barn e,cosine_similarity,Marque
ciel e,cosine_similarity,Marque
armée e e armée,cosine_similarity,Marque
e e,cosine_similarity,Marque
robot e e barn oxygène armée,cosine_similarity,Marque
t armée e,cosine_similarity,Marque
ciel,cosine_similarity,Marque
rayon,cosine_similarity,Marque
ciel,cosine_similarity,Marque
rayon travaillolique e H,cosine_similarity,Marque
e,cosine_similarity,Marque
rayon e,cosine_similarity,Marque
ciel e robot,cosine_similarity,Marque
barn e,cosine_similarity,Marque
e H ciel,cosine_similarity,Marque
travaillolique travaillolique enfant robot,cosine_similarity,Marque
radius oxygène oxygène,cosine_similarity,Marque
H,cosine_similarity,Marque
943,0.8002793773475511,ôcuir
ciel,cosine_similarity,Marque
robot ciel,cosine_similarity,Marque
oxygène ciel ciel e,cosine_similarity,Marque
ciel ciel enfant ciel,cosine_similarity,Marque
ciel ciel,cosine_similarity,Marque
NOx,cosine_similarity,Marque
e e,cosine_similarity,Marque
téléphone_cellulaire armée,cosine_similarity,Marque
armée,cosine_similarity,Marque
ciel,cosine_similarity,Marque
travaillolique,cosine_similarity,Marque
robot ciel,cosine_similarity,Marque
